id,repo_url,prompt,response
e11cfda3-09dc-41e2-8461-6d263e616571,github.com/facebook/react.git,"user|file_name|time_spent_min|total_edits
Jan Kassens|ReactFiberHooks.js|2.0|2
Sebastian Markbåge|ReactDOMForm-test.js|2.0|2
Sebastian Markbåge|componentStacks-test.js|2.0|2
Josh Story|server.browser.js|2.0|2
Sebastian Silbermann|ReactDOMServerIntegrationLegacyContextDisabled-test.internal.js|2.0|2
Ricky|ReactHooks-test.internal.js|2.0|2
Josh Story|ReactFiberComponentStack.js|2.0|2
Ricky|ReactDOMServerIntegrationUserInteraction-test.js|2.0|2
Sebastian Silbermann|config.yml|2.0|2
Andrew Clark|ReactCacheElement-test.js|2.0|2
Ricky|ReactFizzConfigDOM.js|2.0|2
Josh Story|unstable_testing.experimental.js|2.0|2
Sebastian Silbermann|.gitignore|2.0|2
Sebastian Markbåge|ReactNativeEvents-test.internal.js|2.0|2
Jack Pope|ReactFeatureFlags.test-renderer.native.js|2.0|2
Andrew Clark|ReactES6Class-test.js|2.0|2
Josh Story|ReactSubtreeFlagsWarning-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-fb-experimental.js|2.0|2
Josh Story|codes.json|2.0|2
Sebastian Markbåge|ReactElementType.js|2.0|2
Andrew Clark|ReactTypeScriptClass-test.ts|2.0|2
Sebastian Markbåge|ReactFiberHydrationDiffs.js|0.6166666666666667|2
Sebastian Silbermann|ReactDOMServerIntegrationInput-test.js|2.0|2
Jan Kassens|ReactServerRenderingHydration-test.js|2.0|2
Jack Pope|ReactProfilerDevToolsIntegration-test.internal.js|2.0|2
Sebastian Markbåge|useSyncExternalStoreShared-test.js|2.0|2
Ricky|ReactFiberBeginWork.js|2.0|2
Ricky|ReactFlightDOMBrowser-test.js|2.0|2
Josh Story|ReactNoopServer.js|2.0|2
Sebastian Markbåge|DevToolsFiberComponentStack.js|2.0|2
Sebastian Markbåge|ReactIncrementalErrorHandling-test.internal.js|2.0|2
Timothy Yung|ReactFeatureFlags.test-renderer.www.js|2.0|2
Sebastian Markbåge|ReactFlightWebpackReferences.js|0.5833333333333334|2
Jan Kassens|ReactDOMComponent.js|2.0|2
Sebastian Markbåge|ReactDOMLegacyFiber-test.js|2.0|2
Sebastian Markbåge|ReactFlightDOM-test.js|2.0|2
dan|ReactFeatureFlags.native-fb.js|2.0|2
Josh Story|ReactFiberConfigDOM.js|2.0|2
StyleShit|ExhaustiveDeps.js|2.0|2
Ruslan Lesiutin|treeContext-test.js|2.0|2
Josh Story|server.bun.js|2.0|2
Josh Story|ReactCompositeComponentState-test.js|2.0|2
Sebastian Markbåge|ReactCapturedValue.js|2.0|2
Andrew Clark|ReactHooksInspectionIntegration-test.js|2.0|2
bubucuo|ReactChildFiber.js|2.0|2
Sebastian Markbåge|forks.js|2.0|2
dan|ReactMemo-test.js|2.0|2
Ricky|ReactDOMServerIntegrationSelect-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-node.js|2.0|2
Sebastian Markbåge|ReactFiberRootScheduler.js|2.0|2
dan|ReactFiberBeginWork.js|2.0|2
dan|ReactJSXElementValidator-test.js|2.0|2
Jan Kassens|ReactFeatureFlags.test-renderer.native-fb.js|2.0|2
dan|forwardRef-test.js|2.0|2
Andrew Clark|ReactFiberAsyncAction.js|2.0|2
Jan Kassens|DOMPluginEventSystem.js|2.0|2
Ricky|ReactHooks.js|2.0|2
Andrew Clark|ReactFlightTurbopackDOMNode-test.js|2.0|2
Ricky|index.js|2.0|2
Ricky|ReactIncrementalErrorHandling-test.internal.js|2.0|2
Jack Pope|ReactFeatureFlags.native-oss.js|2.0|2
Sebastian Markbåge|ReactElementValidator.js|2.0|2
Ricky|ReactDOMServerIntegrationAttributes-test.js|2.0|2
Ricky|index.classic.fb.js|2.0|2
Sebastian Markbåge|ReactFlightHooks.js|2.0|2
Josh Story|server.edge.js|2.0|2
Ricky|ReactDebugHooks.js|2.0|2
dan|ReactFeatureFlags.native-oss.js|2.0|2
Andrew Clark|ReactTestRenderer-test.internal.js|2.0|2
Ricky|ReactDeprecationWarnings-test.js|2.0|2
Sebastian Markbåge|ReactFeatureFlags.www-dynamic.js|2.0|2
Sebastian Markbåge|ReactJSXElementValidator.js|2.0|2
Josh Story|ReactDOMComponent-test.js|2.0|2
Josh Story|ReactFiberHydrationDiffs.js|2.0|2
Andrew Clark|ReactFetch-test.js|2.0|2
Sebastian Markbåge|setupTests.js|2.0|2
Ricky|ReactDOMServerIntegrationCheckbox-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-legacy.js|2.0|2
Andrew Clark|ReactFlightTurbopackDOMBrowser-test.js|2.0|2
Sebastian Markbåge|DevToolsComponentStackFrame.js|2.0|2
Ricky|ReactDOMServerIntegrationBasic-test.js|2.0|2
Sebastian Silbermann|ReactTestUtils.js|2.0|2
Josh Story|ReactFiberCompleteWork.js|2.0|2
Andrew Clark|ReactLazy-test.internal.js|2.0|2
Ricky|ReactUpdates-test.js|2.0|2
Jan Kassens|react-dom-server-rendering-stub-test.js|2.0|2
dan|ReactContextValidator-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-browser.js|2.0|2
bubucuo|ReactInternalTypes.js|2.0|2
Ricky|ReactJSXTransformIntegration-test.js|2.0|2
Ricky|ReactDOMTestSelectors-test.js|2.0|2
Rubén Norte|ReactFeatureFlags.native-oss.js|2.0|2
Josh Story|ReactDOM-test.js|2.0|2
Ruslan Lesiutin|FastRefreshDevToolsIntegration-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-node-esm.js|2.0|2
Ricky|ReactDOMInput-test.js|2.0|2
Andrew Clark|ReactElement.js|2.0|2
Andrew Clark|multiple-copies-of-react-test.js|2.0|2
Jan Kassens|ReactLegacyErrorBoundaries-test.internal.js|2.0|2
dan|ReactFlightDOMServerBrowser.js|2.0|2
Josh Story|ReactLegacyCompositeComponent-test.js|2.0|2
Ricky|ReactDOMServerIntegrationClassContextType-test.js|2.0|2
Andrew Clark|ReactDeferredValue-test.js|2.0|2
Sebastian Markbåge|ReactFlightReplyServer.js|2.0|2
Andrew Clark|ReactFlightDOMNode-test.js|2.0|2
Andrew Clark|ReactFlightDOM-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-bun.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-edge-turbopack.js|2.0|2
Sebastian Markbåge|ReactDOMComponent-test.js|2.0|2
Sebastian Markbåge|ReactTestUtils-test.js|2.0|2
StyleShit|ESLintRuleExhaustiveDeps-test.js|2.0|2
Josh Story|index.experimental.js|2.0|2
Sebastian Markbåge|ReactFiberErrorDialog.js|2.0|2
Josh Story|ReactLegacyUpdates-test.js|2.0|2
Ricky|ReactDOMInvalidARIAHook-test.js|2.0|2
Sebastian Markbåge|ReactNativeRenderer.js|2.0|2
Ricky|inspectedElement-test.js|2.0|2
dan|ReactServerContextRegistry.js|2.0|2
Jack Pope|ReactHooks-test.internal.js|2.0|2
Joseph Savona|index.experimental.js|2.0|2
Andrew Clark|setupTests.js|2.0|2
Ricky|ReactDOMServerIntegrationSpecialTypes-test.js|2.0|2
